transaction_id,description,amount,date,category
6342,RedBus UPI TXN3273 56594 UPI,941.31,2024-09-01,Travel
4227,electricity board card txn3644 43130,4422.36,2024-01-05,Bills & Utilities
6287,AIR INDIA IMPS TXN7685 97345,3564.72,2024-05-06,Travel
3144,NYKAA POS TXN8594,4896.16,2024-10-26,Shopping
1096,Nature's Basket UPI TXN5954,425.57,2024-07-29,Groceries
3659,Spotify NEFT TXN2353 92070,2382.37,2024-05-05,Entertainment
7529,FLAT RENT UPI TXN9775 25921,3620.89,2024-10-12,Rent
857,Reliance Fresh IMPS TXN8189 NEFT,3689.62,2024-10-19,Groceries
8566,bajaj allianz pos txn3442 86577,3542.95,2024-04-16,Insurance
4257,Paytm Recharge CARD TXN5472 90378 NEFT,2361.19,2024-04-12,Bills & Utilities
1571,big bazaar neft txn2468 32718,3929.54,2024-02-23,Groceries
5402,Fortis Hospital POS TXN7007 43834 AUTH,3003.74,2024-10-09,Healthcare
965,Big Bazaar NEFT TXN1058 78389,206.93,2024-01-18,Groceries
927,DMart POS TXN6623 69379 POS,4006.35,2024-08-30,Groceries
3131,AMAZON UPI TXN8111 26032,1042.1,2024-08-21,Shopping
760,SWIGGY IMPS TXN3545,2727.62,2024-06-02,Food & Dining
5971,makemytrip upi txn5373 58317,4915.47,2024-08-03,Travel
7886,PG Fee POS TXN7834 IMPS,4750.37,2024-09-05,Rent
3752,NETFLIX CARD TXN3287 57080,3131.67,2024-09-08,Entertainment
1551,dmart neft txn9139 72684 TRANS,3589.94,2024-10-17,Groceries
3463,SPOTIFY IMPS TXN3796 52871 POS,2241.25,2024-01-01,Entertainment
9121,IMPS IMPS TXN7257,4074.69,2024-08-08,Transfers
7250,PG Fee POS TXN3578 71629,3446.68,2024-07-01,Rent
8981,ACCOUNT TRANSFER POS TXN8803 TRANS,1927.71,2024-08-20,Transfers
4052,ELECTRICITY BOARD UPI TXN9497 93357 IMPS,3495.47,2024-09-26,Bills & Utilities
4356,BSNL BILL POS TXN9270,3368.35,2024-06-16,Bills & Utilities
